key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_transports,Services communs (transports),Services communs (transports),0.012152,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Transports, routes et voiries»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Transports, routes et voiries», données 2024, total 163 M€."
transports_scolaires,Transports scolaires,Transports scolaires,0.122493,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Transports, routes et voiries»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Transports, routes et voiries», données 2024, total 1643 M€."
transports_publics_hors_scolaire,Transports publics (hors scolaire),Transports publics (hors scolaire),0.730709,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Transports, routes et voiries»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Transports, routes et voiries», données 2024, total 9801 M€."
routes_et_voiries,Routes et voiries,Routes et voiries,0.047939,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Transports, routes et voiries»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Transports, routes et voiries», données 2024, total 643 M€."
infrastructures_de_transport,Infrastructures de transport,Infrastructures de transport,0.086707,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Transports, routes et voiries»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Transports, routes et voiries», données 2024, total 1163 M€."
