key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_et_vie_sociale,Services communs et vie sociale,Services communs et vie sociale,0.199825,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Culture, vie sociale, sport et jeunesse»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Culture, vie sociale, sport et jeunesse», données 2024, total 458 M€."
culture,Culture,Culture,0.492147,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Culture, vie sociale, sport et jeunesse»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Culture, vie sociale, sport et jeunesse», données 2024, total 1128 M€."
sports,Sports,Sports,0.263089,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Culture, vie sociale, sport et jeunesse»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Culture, vie sociale, sport et jeunesse», données 2024, total 603 M€."
jeunesse_et_loisirs,Jeunesse et loisirs,Jeunesse et loisirs,0.044939,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Culture, vie sociale, sport et jeunesse»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Culture, vie sociale, sport et jeunesse», données 2024, total 103 M€."
