key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_y_compris_r_d,Services communs (y compris R & D),Services communs (y compris R & D),0.446882,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Action économique»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Action économique», données 2024, total 1161 M€."
agriculture_p_che_et_agro_alimentaire,"Agriculture, pêche et agro-alimentaire","Agriculture, pêche et agro-alimentaire",0.221324,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Action économique»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Action économique», données 2024, total 575 M€."
industrie_commerce_et_artisanat,"Industrie, commerce et artisanat","Industrie, commerce et artisanat",0.236721,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Action économique»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Action économique», données 2024, total 615 M€."
d_veloppement_touristique,Développement touristique,Développement touristique,0.095073,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Action économique»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Action économique», données 2024, total 247 M€."
