key,label_fr,label_en,share,source,source_url,date_reference,notes
op_rations_non_ventilables,Opérations non ventilables,Opérations non ventilables,0.059275,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Services généraux»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Services généraux», données 2024, total 1466 M€."
administration_g_n_rale,Administration générale,Administration générale,0.913068,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Services généraux»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Services généraux», données 2024, total 22582 M€."
conseils_assembl_e_locale,"Conseils, assemblée locale","Conseils, assemblée locale",0.027656,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Services généraux»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Services généraux», données 2024, total 684 M€."
