arrondissement,label,annee,logements_sociaux,residences_principales,source,source_url,licence
2,2e,2016,745,13320,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
2,2e,2017,759,13167,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
2,2e,2018,788,13200,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
2,2e,2019,808,13650,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2001,588,21334,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2002,589,21097,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2003,632,21015,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2004,720,20965,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2005,720,20927,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2006,815,20920,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2007,852,20273,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2008,862,20037,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2009,1091,20425,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2010,1099,20380,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2011,1252,20193,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2012,1267,20548,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2013,1291,20677,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2014,1352,20598,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
3,3e,2015,1494,20311,APUR - Chiffres du logement social 2001-2019 (inventaire SRU au 1er janvier),https://opendata.apur.org/datasets/Apur::logement-social20012019,ODbL
