projet_id,projet_year,projet_nom,projet_montant,projet_arr,numero_marche,fournisseur_nom,fournisseur_siret,marche_objet,marche_annee,marche_montant,score,label,reason
2023_15_42_006,2023,extérieures,98521.25,15,20232023T00598,ART ET TECHNIQUE DE LA MENUISERIE,47777174500023,MODERNISAT° DES MENUISERIES EXTERIEURES DU GS VOLTAIRE 11ÈME,2023,278705.0,0.85,confirmed,overlap=['exterieures']
2023_15_42_006,2023,extérieures,98521.25,15,20242024T09620,SAS MENUISERIE MOREAU,32572963000013,SA4-TRVX RAV ECOLE SOUZY-LOT2 MENUISERIES EXTERIEURES BOIS,2024,743403.78,0.85,confirmed,overlap=['exterieures']
2023_15_42_006,2023,extérieures,98521.25,15,20222022T03866,ART ET TECHNIQUE DE LA MENUISERIE,47777174500023,MODERNISATION MENUISERIES EXTERIEURES EE BERANGER 3E,2022,296295.0,0.85,confirmed,overlap=['exterieures']
2023_15_42_006,2023,extérieures,98521.25,15,20222022T05703,ART ET TECHNIQUE DE LA MENUISERIE,47777174500023,SA4 TRAVAUX MENUISERIES EXTERIEURES PLCE JACQUESMARETTE 15E,2022,234230.0,0.85,confirmed,overlap=['exterieures']
2023_15_42_006,2023,extérieures,98521.25,15,20242024T05681,ENCOTRA,32150432600075,TRX MODERNISATION L'AUVENT ENTRÉE ET MENUISERIES EXTERIEURES,2024,194787.75,0.85,confirmed,overlap=['exterieures']
2023_11_30_019,2023,Centre sportif Cour des Lions - 9 rue Alphonse Baudin - Mise aux normes SSI et désenfumage,98462.22,11,20232023T04705,SONALARME,42101108100039,RÉNOVATION SSI CS COUR DES LIONS PARIS 75011,2023,74064.6,0.7,probable,overlap=['lions']
2023_11_30_019,2023,Centre sportif Cour des Lions - 9 rue Alphonse Baudin - Mise aux normes SSI et désenfumage,98462.22,11,20222022T03385,TECHNIQUE FRANCAISE DE L EAU,40130307800034,TRAV RECOND. FILTRES PISCINE COUR DES LIONS PARIS 75011,2022,43868.66,0.7,probable,overlap=['lions']
2023_11_30_019,2023,Centre sportif Cour des Lions - 9 rue Alphonse Baudin - Mise aux normes SSI et désenfumage,98462.22,11,20212021T00049,MARCHE MULTIATTRIBUTAIRE,#,"SA4-ACBC-LOT1-SOLS SPORTIF 1 A 6 9,10,13,14,18,19; 91,93,95",2021,27948559.99,0.65,probable,overlap=['sportif']
2022_06_15_003,2022,du rez-de-chaussée,98458.0,6,,,,,,,,no_match,aucun candidat score >= 0.60
2023_11_30_028,2023,Diverses rues - Trottoirs et pieds d'arbres,97894.29,11,20222022T01556,NATURESPACES,79159233000025,SA3_TRVX AMENAGEMNT_PERMIS_VEGETALISER PIEDS ARBRES ESPACE P,2022,3500000.0,1.0,confirmed,"overlap=['arbres', 'pieds']"
2023_11_30_028,2023,Diverses rues - Trottoirs et pieds d'arbres,97894.29,11,20222022T01555,MARCEL VILLETTE,39040929000033,SA3_TVX AMENAGEMENT VEGETAL. PIEDS D'ARBRES ESP.PUBL. LOT1,2022,3000000.0,1.0,confirmed,"overlap=['arbres', 'pieds']"
2023_11_30_028,2023,Diverses rues - Trottoirs et pieds d'arbres,97894.29,11,20212021T00531,TERIDEAL,32307786700055,TRVX REFECTION REVÊTEMENT PIEDS D'ARBRES COURS GS PARIS 11È,2021,43754.4,1.0,confirmed,"overlap=['arbres', 'pieds']"
2023_11_30_028,2023,Diverses rues - Trottoirs et pieds d'arbres,97894.29,11,20232023T01002,TERIDEAL AGRIGEX ENVIRONNEMENT,32534895100097,"SA3 TVX FOUILLES/PLANTATIONS ARBRES SUR VOIRIE, JARD, EV VDP",2023,5400000.0,0.9,confirmed,overlap=['arbres']
2023_11_30_028,2023,Diverses rues - Trottoirs et pieds d'arbres,97894.29,11,20232023F02900,FONDERIES DECHAUMONT,70080299400025,SA3_ACBC FOURNITUR FONTE VOIRIE_PANNEAUX GRILLES ARBRES_LOT1,2023,6000000.0,0.85,confirmed,overlap=['arbres']
2023_14_39_008,2023,Jardin Anna Marly - Modernisation type coulée verte,97722.21,14,20242024T08248,MARCEL VILLETTE,39040929000033,SA3.MS_AC.TRVX PR PROLONGAT°COULÉE VERTE R. DUMONT PARIS 12,2024,1856597.53,1.0,confirmed,"overlap=['coulee', 'verte']"
2023_14_39_008,2023,Jardin Anna Marly - Modernisation type coulée verte,97722.21,14,20242024T09781,MARCEL VILLETTE,39040929000033,SA3.MS_AC.TRX ESP VERTS PHASE4 COULÉE VERTE BEAUGRENE 15E VP,2024,631490.43,1.0,confirmed,"overlap=['coulee', 'verte']"
2023_14_39_008,2023,Jardin Anna Marly - Modernisation type coulée verte,97722.21,14,20232023T00728,TERIDEAL AGRIGEX ENVIRONNEMENT,32534895100097,SA3 MSAC TVX REAMENAGEMENT DU JARDIN ANNA MARLY PARIS 14EME,2023,720705.59,0.95,confirmed,"overlap=['anna', 'marly']"
2023_14_39_008,2023,Jardin Anna Marly - Modernisation type coulée verte,97722.21,14,20232023F08583,VIDELIO,35009370400657,M. SUBS. CAMÉRAS DE TYPE « POURSUITE » POUR L'ADIDAS ARÉNA,2023,273214.47,0.7,probable,overlap=['type']
2023_14_39_008,2023,Jardin Anna Marly - Modernisation type coulée verte,97722.21,14,20222022F07138,SERI,82572049300014,SA3 FOURNITURE DE CORBEILLES DE RUE DE TYPE PORTE SACS,2022,214000.0,0.7,probable,overlap=['type']
2023_12_33_009,2023,"Gymnase 43, allée Vivaldi - Rénovation de l'éclairage",97361.91,12,,,,,,,,no_match,aucun candidat score >= 0.60
2022_20_62_006,2022,EP Davout - Travaux d'étanchéité sur les terrasses,97225.0,20,20232023T04437,ATTEC,51238993300049,ETANCHEITE TOITURES TERRASSES EP GEORGES BALANCHINE 13EME LO,2023,447000.0,1.0,confirmed,"overlap=['etancheite', 'terrasses']"
2022_20_62_006,2022,EP Davout - Travaux d'étanchéité sur les terrasses,97225.0,20,20222022S05488,INSTITUT FORMAT. ANIMAT. CONSEIL,33273739400244,SA2 LOT 2- GESTION EXPLOITATION EPJ DAVOUT ET TAOS 75020,2022,4652580.18,0.85,confirmed,overlap=['davout']
2022_20_62_006,2022,EP Davout - Travaux d'étanchéité sur les terrasses,97225.0,20,20222022T00991,SNIDARO,30912448500058,SA4_TRVX IMPERMEABILISAT°ETANCHEITE CARRELAGE_BASSINS/LOT6,2022,2000000.0,0.85,confirmed,overlap=['etancheite']
2022_20_62_006,2022,EP Davout - Travaux d'étanchéité sur les terrasses,97225.0,20,20222022T04281,COCHERY ILE DE FRANCE,41797626300018,TRANSFORMATIONS TERRASSES GS SAINT MERRI EN TERRASES OASIS,2022,676376.28,0.85,confirmed,overlap=['terrasses']
2022_20_62_006,2022,EP Davout - Travaux d'étanchéité sur les terrasses,97225.0,20,20222022T02579,ETANCHECO,42296795000029,ETANCHEITE ZONE 2 COUR GS EUGENIE COTTON 19EME,2022,666245.35,0.85,confirmed,overlap=['etancheite']
2023_00_9_036,2023,"Marché couvert 21, place Louis Lépine - Réhabilitation des pavillons",97211.13,0,20222022T02019,VIABILITE TERRASSEMENT MATERIAUX,43864629100056,TRANSFORMATION COUR EM SAINT LOUIS 21 RUE ST LOUIS PARIS 4E,2022,233141.54,0.7,probable,overlap=['louis']
2023_00_9_036,2023,"Marché couvert 21, place Louis Lépine - Réhabilitation des pavillons",97211.13,0,20232023T04320,ART-DAN ILE-DE-FRANCE,48940507600071,SA4 CREATION TERRAINS DE FOOTBALL CS LOUIS LUMIERE LOT1,2023,958164.73,0.7,probable,overlap=['louis']
2024_13_36_019,2024,Ecole élémentaire 53 rue Baudricourt - Modernisation de la cuisine et du réfectoire,96945.95,13,,,,,,,,no_match,aucun candidat score >= 0.60
2022_11_31_003,2022,"EE 8, cité Voltaire - Modernisation sanitaires 1er étage, Modernisation des portes et fenêtres",96765.0,11,20222022T03985,ETS SYLVAIN JOYEUX GENNEVILLIERS,32933888302274,AMENAGEMENT D'UNE COURS OASIS EM 6/8 CITÉ VOLTAIRE 75011 PAR,2022,207739.63,1.0,confirmed,"overlap=['cite', 'voltaire']"
2022_11_31_003,2022,"EE 8, cité Voltaire - Modernisation sanitaires 1er étage, Modernisation des portes et fenêtres",96765.0,11,20212021T01826,DARRAS ET JOUANIN,77572541900086,MODERNISATION DES SANITAIRES 1ER ÉTAGE EE CITÉ VOLTAIRE 11È,2021,47801.88,1.0,confirmed,"overlap=['cite', 'etage', 'voltaire']"
2024_05_12_011,2024,Réfection du trottoir: Boulevard Saint Marcel,96292.6,5,20242024S10212,AMOES,49519128000108,SUBSEQUENT AMO PERF.ENERG.ET COMMISSIONNT BAT SAINT MARCEL,2024,87100.0,0.85,confirmed,overlap=['marcel']
2024_16_45_017,2024,"Crèche Collective 11, Rue Serge Prokofiev - Restructuration",96177.68,16,20222022S08528,IMPULSE,47791348700120,AMO RESTRUCTURATION DE LA CC 11 RUE SERGE PROKOFIEV 75016,2022,50820.0,1.0,confirmed,"overlap=['prokofiev', 'restructuration', 'serge']"
2024_16_45_017,2024,"Crèche Collective 11, Rue Serge Prokofiev - Restructuration",96177.68,16,decp-2025T05546,,39872259500046,"Travaux de modernisation du poste de change, des locaux accueillant les enfants, du local douche du personnel et de quelques aménagements de mobiliers au 2ème étage de la crèche, 11 rue Serge Prokofiev 75016 Paris.",2025,167816.0,1.0,confirmed,"overlap=['prokofiev', 'serge']"
2024_16_45_017,2024,"Crèche Collective 11, Rue Serge Prokofiev - Restructuration",96177.68,16,20222022S05332,SATO ET ASSOCIES,30909503200079,MOE RESTRUCTURATION CRÈCHE MOZART 11 RUE S. PROKOFIEV 75016,2022,334180.0,1.0,confirmed,"overlap=['prokofiev', 'restructuration']"
2024_16_45_017,2024,"Crèche Collective 11, Rue Serge Prokofiev - Restructuration",96177.68,16,decp-2026T02606,,81453753600033,"Modernisation des postes de change et la réfection des locaux du 1er étage de la crèche, 11 rue Serge Prokofiev 75016 Paris.",2026,209790.0,1.0,confirmed,"overlap=['prokofiev', 'serge']"
2024_16_45_017,2024,"Crèche Collective 11, Rue Serge Prokofiev - Restructuration",96177.68,16,20242024S00374,MANERGY,32858182200033,SA4_AC BC&MS MOE RESTRUCTURATION CRECHE PREAULT 19ÈME,2024,1000000.0,0.85,confirmed,overlap=['restructuration']
2024_05_12_001,2024,Ecole Élémentaire 10 Rue Rollin - Menuiseries,95870.88,5,,,,,,,,no_match,aucun candidat score >= 0.60
