key,label_fr,label_en,share,source,source_url,date_reference,notes
sant_y_c_pmi_et_planification_familiale,Santé (y c. PMI et planification familiale),Santé (y c. PMI et planification familiale),0.023253,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 1079 M€."
action_sociale_hors_apa_et_rsa,Action sociale (hors APA et RSA),Action sociale (hors APA et RSA),0.597160,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 27710 M€."
personnes_d_pendantes_apa,Personnes dépendantes (APA),Personnes dépendantes (APA),0.152792,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 7090 M€."
rsa_et_rmi,RSA et RMI,RSA et RMI,0.226796,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 10524 M€."
