key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_et_s_curit,Services communs et sécurité,Services communs et sécurité,0.047803,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Aménagement des territoires et habitat»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Aménagement des territoires et habitat», données 2024, total 62 M€."
am_nagement_des_territoires,Aménagement des territoires,Aménagement des territoires,0.858905,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Aménagement des territoires et habitat»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Aménagement des territoires et habitat», données 2024, total 1114 M€."
habitat,Habitat,Habitat,0.093292,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Aménagement des territoires et habitat»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Aménagement des territoires et habitat», données 2024, total 121 M€."
