key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_y_compris_apa_et_rsa,Services communs (y compris APA et RSA),Services communs (y compris APA et RSA),0.067503,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 624 M€."
sant,Santé,Santé,0.070640,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 653 M€."
action_sociale_hors_apa_et_rsa,Action sociale (hors APA et RSA),Action sociale (hors APA et RSA),0.861856,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Santé, action sociale»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Santé, action sociale», données 2024, total 7967 M€."
