key,label_fr,label_en,share,source,source_url,date_reference,notes
services_communs_et_actions_transversales,Services communs et actions transversales,Services communs et actions transversales,0.101648,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Environnement»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Environnement», données 2024, total 74 M€."
actions_en_mati_re_de_d_chets_et_propret_urbaine,Actions en matière de déchets et propreté urbaine,Actions en matière de déchets et propreté urbaine,0.057692,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Environnement»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Environnement», données 2024, total 42 M€."
actions_en_mati_re_de_gestion_des_eaux,Actions en matière de gestion des eaux,Actions en matière de gestion des eaux,0.155220,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Environnement»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Environnement», données 2024, total 113 M€."
autres_actions_environnementales,Autres actions environnementales,Autres actions environnementales,0.685440,"DGCL/OFGL — Rapport 2025 (annexe 2F, agrégat sous «Environnement»)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"Sous-agrégat OFGL du groupe «Environnement», données 2024, total 499 M€."
